fen,evaluation
rn1qkb1r/1p2pp1p/p1ppbnp1/8/2N1P3/1P3Q1B/P1PPKP1P/R1B3NR,-143
rnbqkb1r/pppp1ppp/4pn2/8/P7/5N2/RPPPPPPP/1NBQKB1R,-63
r1bqkbr1/pp2p1pp/2pp3n/4N3/PP4p1/R2PP2P/3P1PB1/1NBQK2R,-52
1nbkqbnr/r1p1pppp/p2p4/8/p4B2/1PNP1P1P/2P1P1P1/1R1QKBNR,-79
rnbqk2r/2pp3p/1p1b2p1/p2npp2/2P1P2P/1PN3P1/P2PKP2/R1BQ1BNR,453
rnb1kbn1/1pppq1p1/p4pr1/1N2p3/QPP4p/5PP1/P2PP1BP/R1B1K1NR,-75
rn2kbnr/pp2q1pp/3Pbp2/4p3/8/P6P/1BPPPPP1/RN1QKBNR,746
rnbqkbnr/pppp4/4p1p1/5p1p/1P3P2/5N2/P1PPP1PP/RNBQKB1R,51
rnb1kbnr/p1pp1ppp/8/4q3/1p1N4/2N5/PPPPP1PP/R1BQKB1R,-32
rnbqk1nr/pp1pp1b1/2p2ppp/8/1PP5/N3P3/P2P1PPP/1RBQKBNR,130
rnbqkbn1/pppppppr/8/7p/P5P1/N7/1PPPPP1P/R1BQKBNR,-185
rnbqk2r/p1ppbpp1/5n2/1p5p/1PP1pPQ1/4P1P1/P2P3P/RNB1KBNR,-698
r1bqk1nr/p1pp1ppp/1p2p3/3N4/1b1n1P2/4P3/PPPPQ1PP/R1B1KBNR,-628
rn1q1bnr/Qppb1kp1/4pp1B/3p4/3P4/N1P4N/PP2PPPP/3RKB1R,-739
rnb1kbnr/p1pp1ppp/1p2p3/8/5PPq/8/PPPPP2P/RNBQKBNR,-10000
r1bqkbn1/np1pp2r/B5p1/2p2p1p/1P4Q1/P3P2P/2PP1PP1/RNB1K1NR,-729
rnbqk1nr/Qppp1ppp/4p3/2b5/8/2P5/PP1PPPPP/RNB1KBNR,-660
rnbqkb1r/p1Bp1ppp/1p2p3/8/3P3P/N1n2P2/PPP1P1P1/R2QKBNR,-528
rnbq1bnr/pp1k3p/B1p1p1p1/4Pp2/P2p2Q1/1PN5/2PP1PPP/R1B1K1NR,282
rnb1kb1r/ppp1p1pp/3q3n/5p2/8/1PPpPK2/P2P1PPP/RNBQ1BNR,-470
rnbqkbnr/1ppppp2/8/6pp/p3P3/N2B1P1N/PPPP2PP/R1BQK2R,11
rnbqkb1r/1pp1pp2/p4np1/2Pp3p/6PP/P6N/1P1PPP2/RNBQKB1R,-322
rnbqkbnr/pppppppp/8/8/2P4P/7N/PP1PPPP1/RNBQKB1R,26
r1b1k1nr/p3ppb1/n2qN2p/1p1p2B1/1P1p4/8/P1PNPPPP/R1Q1KBR1,-671
rnb1k1nr/pp1pppb1/2p3p1/q6p/3P4/5PP1/PPPQP2P/RNB1KBNR,-177
r1bqkbnr/p2ppppp/1p6/2p5/2Pn4/5PPP/PP1PP3/RNBQKBNR,-41
r1b1kbnr/1ppnpppp/5B2/p2p4/1P5q/P2P1P2/2P1P1PP/RNKQ1BNR,582
rnb1kb1r/1p1pp1pp/Bqp2n2/4Pp2/8/2P4N/PP1P1PPP/RNBQK2R,-48
rnbqkbnr/p1ppp3/1p4p1/7p/1PP1PP2/P3K3/3PNP1P/RNBQ1B1R,144
rnb1kbnr/1p2pp1p/pN1p2p1/1Bp5/4P2N/Pq6/2PP1PPP/R1BQK2R,-264
rnbqk1nr/1pp1p1bQ/p2p4/5pp1/4P3/P2B3N/1PPP1PPP/RNB1K1R1,693
rnbqkbnr/p2pppp1/7p/1pp5/6P1/5B2/PPPPPP1P/RNBQK1NR,394
rnb3nr/ppp2pp1/4pk1p/3p2N1/2B1P2P/1P6/P1PP1KPb/RNB2Q1R,699
rnbqkbnr/1ppp1p2/p7/4pPpp/7P/P4N2/1PPPP1P1/RNBQKB1R,-136
1rbqkb1r/pppppp1p/5np1/8/Q1P3P1/2Nn1P2/PP1PP2P/R1BK1BNR,365
rnb1k1nr/ppppq1bp/3B4/5p2/2P5/N6N/PP2pPPP/R2QKB1R,-176
rnb1kbnr/pp2p1pp/2pp4/1q3p2/5P1P/4P1P1/PPPP1R2/RNBQK1N1,-563
r1bqkb1r/1ppppp1p/p1n3pn/6P1/2NP4/8/PPPKPP1P/R1BQ1BNR,295
rnbqkb1r/ppp1p2p/4Np1n/3p2p1/P1P2P2/8/1P1PP1PP/RNBQKB1R,579
r1bqkbr1/1pppp1pp/5p1B/p7/P2nN2P/5PP1/1PP1P2R/Rn1QKBN1,288
rn1qkbr1/pQpbpppp/8/1N6/2Pp1nPP/8/PP1PPP2/R1B1KBNR,68
rnbqkbr1/pp1pp1pp/7n/2p5/2P1pP2/P2P1N2/1P1QK1PP/RNB2B1R,116
r1bqkb1r/p1pppp1p/p1n3pn/7Q/8/1P2PNP1/P1PP1P1P/RNB1K2R,-550
rnb1kbn1/1pppq3/4p2r/p4pPp/P6P/3PP1P1/1PP1NK2/RNBQ1B1R,303
rnbqk1n1/1ppp4/p4ppr/4p2p/7P/bPPPPPQ1/6P1/RNB1KBNR,-349
